city	state	permalink	created_at	lat	long
Oak Bluffs	MA	fxvaal-f-sng-fnaqjvpurf	2014-09-19 18:38:38	41.456783	-70.557816
Long Beach	CA	penml-perbyr-pnsr-sbbq-gehpx	2014-09-19 20:35:39	33.777917	-118.189104
Redondo Beach	CA 	gxc-cebivfvbaf	2014-09-19 21:36:46	33.822229	-118.385104
Geneva	IL	snivb-f-cvmmrevn	2014-09-20 19:41:34	41.886296	-88.277726
Colbert	WA	znpf	2014-09-22 19:55:41	47.863961	-117.387585
Detroit	MI	fryqra-fgnaqneq	2014-09-23 17:48:45	42.347788	-83.064994
Baltimore	MD	pynex-ohetre	2014-09-23 23:21:15	39.363605	-76.609974
Alpharetta	GA	bevtvany-cnapnxr-ubhfr	2014-09-24 15:35:58	34.08913	-84.265053
Brooklyn	NY	yvggyr-zb-f	2014-09-24 18:19:56	40.696983	-73.933663
Miami Beach	FL	cndhvgbf-yhapu	2014-09-25 14:48:43	25.776412	-80.133715
Petaluma	CA	sbhepurggr	2014-09-25 15:22:01	38.277995	-122.672748
Ridgefield	CT	hcfgnvef-pnsr	2014-09-25 18:58:50	41.283737	-73.497336
Nashville	TN	fzbxva-guvtuf	2014-09-26 16:01:10	36.133135	-86.769923
Miami Beach	Florida	gur-furyyl-ubgry	2014-09-27 01:22:00	25.779009	-80.132344
Los Angeles	CA	gur-guerr-pyhof	2014-09-27 02:23:01	34.091595	-118.327009
Olympia	WA	heona-bavba	2014-09-29 16:57:02	47.04353	-122.900591
Louisville	KY	uvyyovyyl-grn-onkgre-nir	2014-09-29 21:44:35	38.240042	-85.724924
West Palm Beach	FL	gebcvpf-pbaprffvbaf	2014-09-30 00:45:13	26.66581	-80.068963
Old Greenwich	CT	yr-sng-cbbqyr	2014-10-01 00:11:42	41.032136	-73.567196
Madison	WI	gur-fcbegf-cho	2014-10-01 19:51:10	43.124427	-89.324419
Petaluma 	CA 	yiq-jvar-one	2014-10-01 22:28:32	38.233138	-122.636851
Loveland	CO	ynherngr-choyvpx-ubhfr	2014-10-02 19:56:14	40.397004	-105.07317
Inglewood	CA	guerr-jrniref	2014-10-02 20:06:08	33.960821	-118.374614
Columbus	OH	ynaq-tenag-oerjvat-pbzcnal	2014-10-02 22:36:46	39.957856	-83.011517
Northampton	MA	pbaivab-jvar-onne	2014-10-03 15:33:52	42.318292	-72.629991
New York	NY	bvwv	2014-10-07 18:31:07	40.727263	-73.985845
Miami	FL	nqevraar-nefug-pragre	2014-10-07 19:40:59	25.787684	-80.188633
Stockton	CA	fgevatf-pnsr-2aq	2014-10-07 21:08:49	38.053467	-121.374315
Newport	Kentucky	lbex-fgerrg-pnsr	2014-10-07 21:18:14	39.088598	-84.493212
Geneva	IL	cerfreingvba-oernq-jvar	2014-10-07 21:35:25	41.882168	-88.308943
San Francisco	CA	svber	2014-10-08 16:44:35	37.751871	-122.422663
Glendale	CA 	fuvenm-erfgnhenag	2014-10-08 17:00:39	34.144157	-118.248834
Santa Monica	California	sbezn-fnagn-zbavpn	2014-10-08 20:19:00	34.033922	-118.492826
Livermore	CA	urevgntr-rfgngrf	2014-10-08 21:05:45	37.678838	-121.785043
New York	NY	rssl-f-pnsr-ng-92aq-fg	2014-10-08 23:04:06	40.783062	-73.95268
Media	PA	funer-r-chawno	2014-10-09 17:28:52	39.918141	-75.392523
Mountain View	CA	furyy-fubpx-erfgnhenag	2014-10-10 22:03:33	37.394768	-122.078675
Cary	NC	yn-fuvfu	2014-10-13 15:24:45	35.80023	-78.768416
Oak Creek	WI	gur-pryyne-cho-tevyy	2014-10-13 18:39:13	42.857989	-87.926633
KILLINGTON	VERMONT	wnk-sbbq-naq-tnzrf	2014-10-13 21:51:49	43.64937	-72.788063
Hollywood	FL	frabe-pnsr	2014-10-14 15:03:18	25.998151	-80.143347
New York	NY	jvyq-rqvoyrf-tenaq-prageny	2014-10-15 18:44:46	40.752496	-73.977302
New York	NY	jvyq-rqvoyrf-blfgre-one	2014-10-15 18:45:04	40.746573	-73.977031
PORT TOWNSEND	WA	sbhagnva-pnsr	2014-10-15 18:59:28	48.115081	-122.75779
New York	NY	fghqvb-pnssr	2014-10-15 22:22:36	40.745752	-74.008595
Hawaiian Gardens	CA	cub-znl	2014-10-15 22:43:52	33.831185	-118.072992
Omaha	Nebraska	yvggyr-rfcnan	2014-10-16 00:40:22	41.232797	-96.085076
Chicago	Il	gnpb-puvab	2014-10-16 17:04:08	41.967031	-87.713804
Flora	MS	oyhr-ebbfgre	2014-10-17 16:31:07	32.542923	-90.310403
Ferndale	MI	gur-rzbel	2014-10-17 19:17:12	42.459886	-83.133508
Suisun	CA	vebajbbq-nzrevpna-ovfgeb	2014-10-20 17:45:44	38.244008	-122.040448
Perrysburg	Ohio	wo-f-fneavr-fubccr	2014-10-20 20:48:04	41.52755	-83.645122
Naples	FL	zrerqnl-f-svar-qvavat	2014-10-20 23:19:10	26.139218	-81.786001
Hudson	Ohio	ivin-orar-tbhezrg	2014-10-21 19:40:00	41.242969	-81.440243
West Tisbury	MA	fgngr-ebnq	2014-10-21 21:56:33	41.403816	-70.675139
Miami Beach	FL	obyvine-erfgnhenag	2014-10-22 23:32:11	25.776524	-80.13352
Charlottesville	VA	sversyl-rnfg-znexrg-fgerrg	2014-10-22 23:52:24	38.025724	-78.46711
Boulder Creek	California	obhyqre-perrx-oerjvat-pbzcnal	2014-10-23 20:01:19	37.12326	-122.121336
Little Rock	AR	oyhr-pnabr-oerjvat-pb	2014-10-23 20:15:57	34.745374	-92.26639
Winter Park	co	uvqrnjnl-cnex-oerjrel	2014-10-23 22:11:12	39.918029	-105.784057
Klamath Falls	OR	irgrenaf-bs-sbervta-jnef-1383	2014-10-23 23:05:34	42.223857	-121.782284
Brooklyn	NY	pryroevgl-frj-vaf-oebbxyla	2014-10-24 14:47:25	40.669848	-73.908051
Glen Allen	VA	gur-jvar-ybsg	2014-10-24 21:49:45	37.648484	-77.6023
Los Angeles	CA	erq-svfu-xvgpura	2014-10-25 00:17:15	34.055406	-118.385389
Littleton	CO	gur-znabe-ubhfr	2014-10-27 18:15:42	39.58981	-105.168497
Wyandotte	MI	wbrf-unzohetref	2014-10-27 19:03:19	42.20249	-83.14914
Bristol	RI	puevfgvna-f-jbbq-sverq-tevyyr	2014-10-27 21:14:40	41.672252	-71.278411
Chicago	IL	oneyrl-naq-oenff	2014-10-27 21:26:56	41.902891	-87.677931
Waikoloa	HI	fbyvzrar	2014-10-28 01:11:04	19.916421	-155.882197
Grand Prairie	TX	pvgl-bs-tenaq-cenvevr	2014-10-28 15:26:48	32.74827	-97.008224
New York	NY	iba	2014-10-28 16:44:35	40.725475	-73.99259
Burbank	CA	fvzcyr-guvatf-erfgnhenag-8310-j	2014-10-28 16:51:49	34.151894	-118.343268
Milwaukee	WI	gur-oebja-obggyr	2014-10-28 19:38:54	43.051169	-87.913983
Imlay	MI	gur-zhyrsbbg-tnfgebcho	2014-10-28 19:58:23	43.017619	-83.072519
Houston	TX	onunzn-ohpxf-envqre-vpr-3	2014-10-28 21:48:30	29.950245	-95.584935
